category,avg_score,total_reviews
cds_dvds_musicals,4.64,14
fashion_childrens_clothes,4.5,8
books_general_interest,4.45,549
costruction_tools_tools,4.44,99
flowers,4.42,31
books_imported,4.4,60
books_technical,4.37,266
luggage_accessories,4.32,1088
food_drink,4.32,279
small_appliances_home_oven_and_coffee,4.3,76
fashion_sport,4.26,31
fashion_shoes,4.23,261
food,4.22,495
cine_photo,4.21,73
music,4.21,38
stationery,4.19,2507
pet_shop,4.19,1939
computers,4.18,200
home_appliances,4.17,806
toys,4.16,4091
perfumery,4.16,3421
musical_instruments,4.15,675
small_appliances,4.15,677
cool_stuff,4.15,3772
home_appliances_2,4.14,238
health_beauty,4.14,9645
fashion_bags_accessories,4.14,2039
arts_and_craftmanship,4.13,24
furniture_bedroom,4.12,110
tablets_printing_image,4.12,81
sports_leisure,4.11,8640
industry_commerce_and_business,4.1,266
signaling_and_security,4.09,197
dvds_blu_ray,4.08,63
auto,4.07,4213
housewares,4.06,6943
costruction_tools_garden,4.05,240
construction_tools_lights,4.05,296
construction_tools_construction,4.05,926
drinks,4.05,377
electronics,4.04,2749
garden_tools,4.04,4329
consoles_games,4.02,1127
watches_gifts,4.02,5950
christmas_supplies,4.02,146
market_place,4.02,309
baby,4.01,3048
la_cuisine,4.0,13
agro_industry_and_commerce,4.0,212
fashion_underwear_beach,3.98,130
air_conditioning,3.97,292
kitchen_dining_laundry_garden_furniture,3.96,280
telephony,3.95,4517
art,3.94,207
home_construction,3.94,600
computers_accessories,3.93,7849
furniture_decor,3.9,8331
bed_bath_table,3.9,11137
furniture_living_room,3.9,502
construction_tools_safety,3.84,193
,3.83,1622
home_confort,3.83,435
audio,3.83,361
furniture_mattress_and_upholstery,3.82,38
fashio_female_clothing,3.78,50
party_supplies,3.77,43
fixed_telephony,3.68,262
fashion_male_clothing,3.64,131
home_comfort_2,3.63,27
office_furniture,3.49,1687
diapers_and_hygiene,3.26,39
security_and_services,2.5,2
